shop_name,shop_address,lat,lon
BERJAYA TIMES SQUARE EXPERIENCE CENTRE,"G17, GROUND FLOOR, EAST WING, BERJAYA TIMES SQUARE, NO. 1, JALAN IMBI, 55100 KUALA LUMPUR.",3.1421613,101.7106398
BERJAYA TIMES SQUARE EXPERIENCE CENTRE,"NO. 1-10, LEVEL 1, BERJAYA TIMES SQUARE, NO. 1, JALAN IMBI, 55100 KUALA LUMPUR.",3.1421613,101.7106398
"U MOBILE SERVICE CENTRE, AEON AU2 SHOPPING CENTRE","G11, AEON AU2 SHOPPING CENTRE, NO 6, JALAN TAMAN SETIA WANGSA, AU2, BANDAR BARU AMPANG, MUKIM ULU KELANG, 54200 KUALA LUMPUR",3.177034,101.750921
"U MOBILE SERVICE CENTRE, BUKIT TINGGI, KLANG","B-G-10, GROUND FLOOR, BBT ONE, LEBUH BATU NILAM 2, BANDAR BUKIT TINGGI,41200 KLANG, SELANGOR.",3.0087746,101.4395346
"U MOBILE SERVICE CENTRE, SUNWAY PYRAMID","LOT F1.26, 1ST FLOOR, SUNWAY PYRAMID, NO. 3, JALAN PJS 11/15, BANDAR SUNWAY, 46150 PETALING JAYA, SELANGOR.",3.0732775,101.6079493
"U MOBILE SERVICE CENTRE, 1 UTAMA SHOPPING CENTRE","LG313C, 1UTAMA SHOPPING CENTRE (NEW WING), 1, PERSIARAN BANDAR UTAMA, BANDAR UTAMA, 47100 PETALING JAYA, SELANGOR.",3.1507599,101.6154222
"U MOBILE SERVICE CENTRE, QUEENSBAY MALL","2F- 33A & 35 (2ND FLOOR), QUEENSBAY MALL, 100, PERSIARAN BAYAN INDAH, BAYAN LEPAS, 11900, PULAU PINANG.",5.334854,100.306623
"U MOBILE SERVICE CENTRE, SEBERANG JAYA","NO. 50, GROUND FLOOR, JALAN TODAK 2, 13700 SEBERANG JAYA, PULAU PINANG.",5.395812,100.398662
"U MOBILE SERVICE CENTRE, MELAKA","NO. 3, GROUND FLOOR, JALAN MERDEKA, TAMAN MELAKA RAYA, 75250 MELAKA.",2.1897291,102.2530193
"U MOBILE SERVICE CENTRE, SEREMBAN","GROUND FLOOR, NO. 135-1, JALAN TUN DR. ISMAIL, 70200 SEREMBAN, NEGERI SEMBILAN",2.7334955,101.9353611
